#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
2*(((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))&z)^~(~x&((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))^z)))-3*(x&(-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b)))-6*((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))^(x|~z))+15*~(x|((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))|z))+15*~(~x|((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))|z))+12*~(~x|(~(-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))|z))+17*(~x&((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))&z))+4*(x&(~(-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))&z))+3*(x&((-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))&z)),11*(z^(x|~b)),(-1*(a&b)-1*(a&~b)+1*(a|~b)+1*~(a^b)-2*~(a|b)+1*~(a|~b))
4*((y&~z)|~(~(6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))|(~y&z)))+5*(~((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))|y)|~((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))^(y^z)))-5*~((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))|(y|z))-4*~((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))|(~y|z))-4*~(~(6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))|(y|z))-4*(~(6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))&(~y&z))-4*(~(6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))&(y&z))-5*((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))&(~y&z))-4*((6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))&(y&z)),1*(z^(a&(y|z)))+8*~(~a|(~y|z)),(6*(a&b)+1*(a|~b)-6*~(a&~b)+5*~(a|b)+6*~(a|~b))
-6*~(x|((6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))^z))+4*(~(x^(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b)))|(x^z))+2*((x&(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b)))^((6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))|~z))-2*~(x|(~(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))|z))+5*~(~x|((6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))|z))-4*~(~x|(~(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))|z))-4*(~x&(~(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))&z))+11*(~x&((6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))&z))-4*(x&((6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))&z)),11*((x^b)&(x^z)),(6*(a&b)+6*(a&~b)-5*(a|~b)-1*~(a&b)+6*~(a|b)+2*~(a|~b))
1*~((2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))^(~y&z))+5*(z^((2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))|(y|z)))+2*(y^~(~(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))&(y&z)))-3*~((2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))|(y|z))-7*~(~(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))|(y|z))-5*~(~(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))|(~y|z))-2*(~(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))&(~y&z))-3*(~(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))&(y&z))-3*((2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))&(~y&z)),6*~(a|(~y|z)),(2*(a&b)+7*(a&~b)-6*~(a&b)-1*~(a&~b)+7*~(a|b)+7*~(a|~b))
-7*(z^(x&((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))|z)))+1*((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))&~(x&~z))-1*((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))^(x|((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))^z)))-5*((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))^~(~x|(~(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))&z)))+4*~(x|(~(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))|z))+7*~(~x|(~(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))|z))+8*(~x&(~(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))&z))+1*(x&(~(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))&z))-1*(x&((5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))&z)),-12*(~x&(b&z))-6*~(~x|(b|z)),(5*(a&~b)+1*b-5*~(a&b)+5*~(a|b)+5*~(a|~b))
7*(~z|((-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))^y))+2*(y^(~(-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))|(y^z)))-14*~((-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))|(y|z))-7*~((-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))|(~y|z))-12*~(~(-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))|(~y|z))-7*(~(-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))&(~y&z))-12*(~(-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))&(y&z))-9*((-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))&(~y&z))-7*((-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))&(y&z)),-5*(y^~(a|(y&z)))+7*~(~a|(y|z)),(-1*(a&b)+1*(a&~b)-2*~(a&b)+2*~(a&~a))
1*~(~x|(~(-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))&z))+5*(((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))&z)^~(x&((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))^z)))+1*(~(x&~(-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b)))&~(x^((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))^z)))-6*~(x|((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))|z))-5*~(x|(~(-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))|z))-6*~(~x|((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))|z))-2*~(~x|(~(-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))|z))-1*(~x&((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))&z))-1*(x&((-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))&z)),5*(~x&(~b&z)),(-2*(a&b)-1*(a&~b)+1*(a|~b)+2*b-1*~(a|b)-1*~(a|~b))
-7*(z^~((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)|(y&z)))+3*(y^~((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)&(~y|z)))+1*(((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)^y)|((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)^z))+6*~((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)|(~y|z))-5*~(~(2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)|(y|z))-5*~(~(2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)|(~y|z))-8*(~(2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)&(~y&z))+2*(~(2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)&(y&z))+6*((2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)&(~y&z)),-4*(~(a^y)|(a^z)),(2*(a&b)+2*(a&~b)-1*~(a&~a)-1*~(a|b)-1*~(a|~b)+2*~a)
5*((x^(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b)))&~(x^z))-1*((10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))^(x|~z))+2*((x&~(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b)))|((10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))^z))+1*~(x|((10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))|z))-7*~(x|(~(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))|z))-1*~(~x|((10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))|z))-2*~(~x|(~(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))|z))+1*(~x&((10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))&z))-6*(x&(~(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))&z)),2*(~x&(~b&z)),(10*(a&~b)+1*(a|b)-11*~(a&b)+11*~(a|b)+11*~(a|~b))
-6*(~((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))^y)&((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))^z))-2*(y^~((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))&(y&z)))+1*~((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))|(y|z))+2*~(~(3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))|(y|z))+6*~(~(3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))|(~y|z))+7*(~(3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))&(~y&z))-1*(~(3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))&(y&z))+1*((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))&(~y&z))+2*((3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))&(y&z)),-1*((y&~z)^(~a|(y^z))),(3*(a&b)+1*(a&~b)+2*~(a&b)-2*~(a&~a))
-7*(x^((-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)^z))-2*(x|(~(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)&z))-2*~(x|((-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)|z))+5*~(x|(~(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)|z))+9*~(~x|((-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)|z))+2*~(~x|(~(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)|z))+7*(~x&(~(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)&z))+2*(x&(~(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)&z))+7*(x&((-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)&z)),-2*~(x^(b&z)),(-1*(a&b)-5*(a&~b)+2*a-3*~(a|b)+1*~(a|~b)+3*~b)
-7*(((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)^y)&~((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)^z))+5*(~z|~((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)^y))-3*~((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)|(y|z))+4*~((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)|(~y|z))-3*~(~(1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)|(y|z))-3*~(~(1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)|(~y|z))-3*(~(1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)&(~y&z))+9*((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)&(~y&z))-5*((1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)&(y&z)),2*~(y&z),(1*(a&b)+2*(a&~b)-3*(a^b)-2*~(a|b)+3*~(a|~b)+2*~b)
-1*(z^(~x&((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))|z)))+1*((x&~(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b)))|~(x^((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))^z)))-2*((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))^(x|(~(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))|z)))+1*~(x|((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))|z))+1*~(~x|((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))|z))-1*~(~x|(~(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))|z))+2*(~x&(~(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))&z))-1*(~x&((-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))&z))+2*(x&(~(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))&z)),-3*~(x|(~b|z))-1*(x&(b&z)),(-4*(a&b)-12*(a&~b)+7*(a^b)+5*~(a&~a)-5*~(a|b)-11*~(a|~b))
-7*~((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))&~z)-7*(~z&~((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))^y))+3*(y^z)+14*~((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))|(y|z))+4*~((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))|(~y|z))+4*~(~(1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))|(~y|z))+7*(~(1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))&(y&z))+4*((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))&(~y&z))+7*((1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))&(y&z)),-4*(~a&(~y&z)),(1*(a&b)+1*(a&~b)+5*b-5*~(a&~b)+5*~(a|b))
11*((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))^(x|(~(3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))&z)))-6*~(x&((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))|z))+2*((x^(3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b)))|~(x^z))+4*~(x|((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))|z))-7*~(x|(~(3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))|z))-5*~(~x|((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))|z))-3*(~x&(~(3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))&z))-7*(~x&((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))&z))-2*(x&((3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))&z)),2*(~b&(x^z))+13*(x&(~b&z)),(3*(a&b)+7*(a&~b)-7*(a^b)-2*b+10*~(a|~b))
-1*(((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))&z)|~(y|z))-6*(z^~((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))&~y))-6*((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))&~y)+1*(z^(~(-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))|(y&z)))+6*~((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))|(y|z))+5*~((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))|(~y|z))+7*~(~(-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))|(y|z))+6*~(~(-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))|(~y|z))+1*((-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))&(y&z)),-12*(a&(~y&z)),(-1*(a&b)-2*(a&~b)+3*~(a&b)+2*~(a&~b)-5*~(a|b)-5*~(a|~b))
-3*((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))^~(~x|((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))^z)))+2*(z^(x|((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))&z)))+1*~(x|((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))|z))+4*~(x|(~(-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))|z))+2*~(~x|((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))|z))+2*~(~x|(~(-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))|z))-1*(~x&(~(-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))&z))+4*(~x&((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))&z))+1*(x&((-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))&z)),1*~(x&(~b&z)),(-10*(a&b)-4*(a&~b)+11*a-7*~(a&b)+7*~(a|b)+8*~(a|~b))
-3*(~(1*a-2*~(a|b)-2*~(a|~b)+2*~a)&(y^z))+3*(((1*a-2*~(a|b)-2*~(a|~b)+2*~a)&y)^~((1*a-2*~(a|b)-2*~(a|~b)+2*~a)^(~y|z)))-11*~((1*a-2*~(a|b)-2*~(a|~b)+2*~a)|(y|z))-11*~((1*a-2*~(a|b)-2*~(a|~b)+2*~a)|(~y|z))+8*~(~(1*a-2*~(a|b)-2*~(a|~b)+2*~a)|(y|z))-14*~(~(1*a-2*~(a|b)-2*~(a|~b)+2*~a)|(~y|z))+14*(~(1*a-2*~(a|b)-2*~(a|~b)+2*~a)&(~y&z))+11*(~(1*a-2*~(a|b)-2*~(a|~b)+2*~a)&(y&z))+8*((1*a-2*~(a|b)-2*~(a|~b)+2*~a)&(~y&z)),-11*(z^(~a|(y|z)))+11*(y^(a|(y^z))),(1*a-2*~(a|b)-2*~(a|~b)+2*~a)
7*~(x|~z)-3*(~z&(x^(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))))-2*(z^~(x&~(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))))+2*~(x|((-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))|z))+5*~(x|(~(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))|z))+3*~(~x|((-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))|z))+2*~(~x|(~(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))|z))-7*(~x&(~(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))&z))-7*(~x&((-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))&z)),-2*(x&(~b&z)),(-2*(a&b)+2*b+1*~(a^b)-1*~(a|b)-1*~(a|~b))
-2*(((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))&z)^((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))^(y&z)))-11*(y^~(~(7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))|(y^z)))+5*~((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))|y)-5*~((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))|(y|z))+11*~((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))|(~y|z))+13*~(~(7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))|(~y|z))-5*(~(7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))&(~y&z))+13*(~(7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))&(y&z))+2*((7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))&(y&z)),-13*~(~a|(y|z)),(7*(a&b)+1*~(a&b)-6*~(a^b)+5*~(a|b)-1*~(a|~b))
-7*(x^(~(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))|z))-1*((x|(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b)))&(x^((13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))^z)))+9*~(x|((13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))|z))+1*~(x|(~(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))|z))+3*~(~x|((13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))|z))+7*~(~x|(~(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))|z))+9*(~x&(~(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))&z))+9*(~x&((13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))&z))+1*(x&((13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))&z)),2*((x&z)^~(b&~z)),(13*(a&b)+6*(a&~b)-6*(a|b)-6*b+13*~(a|~b))
-5*((y&z)^~(~(12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))&(y^z)))+1*~((12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))|y)+4*~((12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))|(y|z))-7*~((12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))|(~y|z))+5*~(~(12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))|(y|z))-2*~(~(12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))|(~y|z))-1*(~(12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))&(~y&z))-2*((12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))&(~y&z))-7*((12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))&(y&z)),-7*((a&z)|(y&~z)),(12*(a&b)+8*(a&~b)-7*(a^b)-11*b+18*~(a|~b))
