#poly,groundtruth
-8*~y*(x&y)-8*~y*(x&~y)+10*~y*x+3*~y*~(x|y)+8*(x^y)*(x&y)+8*(x^y)*(x&~y)-10*(x^y)*x-3*(x^y)*~(x|y)-3*~y*(x|~y)-1*~y*~x+3*(x^y)*(x|~y)+1*(x^y)*~x,1*~y-1*(x^y)
5*(x|(-10*(x&y)-16*(x&~y)+11*(x|~y)+5*~(x&y)-16*~(x|y)-4*~(x|~y)))+2*(x|~y)-1*~y+1*~(x&~y)-2*y+11*x-2*~(x|y)+7*~(x|~y)-17*(x&~y)-28*(x&(-10*(x&y)-16*(x&~y)+11*(x|~y)+5*~(x&y)-16*~(x|y)-4*~(x|~y))),11*~x-11*~(x^y)
-3*~x-5*(x|y)+7*(x|~y)-3*~(x&~x)-1*y+1*~(x&~y)-1*~(x|y)+5*~(x|~y)-5*(x&~y)+1*(x&(-1*(x&y)-9*(x&~y)+2*~(x&~x)-9*~(x|y)-1*~(x|~y)+7*~y)),1*~(x&y)-7*(x^y)
-1*x-6*(x|y)-7*~(x^y)+7*(x^y)-1*~y-3*(x|~y)+10*~(x|y)-9*~(x|~y)+3*(x&~y)+9*(x&(7*(x&y)-5*(x&~y)+5*x-11*~(x^y)+11*~(x|y)+1*~(x|~y))),-7*y-1*~(x&~x)
1*((3*(x^y))&(-2*~(x&~y)))+2*((3*(x^y))&~(-2*~(x&~y)))+1*((3*(x^y))|~(-2*~(x&~y)))-2*~((3*(x^y))&(-2*~(x&~y)))+1*~((3*(x^y))|(-2*~(x&~y)))+3*~((3*(x^y))|~(-2*~(x&~y)))+7*x+1*~(x&~x)+7*~x-2*~(x&y)-1*y-6*~(x|~y)-9*(x&~y)+6*(x&y),11*~(x^y)-7*~(x|y)
-3*((2*~x)&(-2*y))-3*((2*~x)&~(-2*y))-1*((2*~x)^(-2*y))+5*(2*~x)+2*~((2*~x)|~(-2*y))-1*(x^y)-1*~(x&y)-2*~y+2*x-3*(x|~y)+1*~(x|~y)+4*(x&~y)+2*(x&y),-3*~(x|y)-1*~(x&~x)
9*((-1*~x)&(1*~y))+4*((-1*~x)&~(1*~y))-7*(1*~y)+3*~((-1*~x)|(1*~y))+8*~((-1*~x)|~(1*~y))-3*~(1*~y)-11*~(x^y)+7*(x^y)-1*(x|y)+1*y-11*(x|~y)+22*~(x|y)+4*(x&~y)+22*(x&y),6*~(x|~y)
11*((-1*y)&(-1*~(x&~x)))+8*((-1*y)&~(-1*~(x&~x)))-7*((-1*y)|~(-1*~(x&~x)))-2*(-1*~(x&~x))+7*~((-1*y)|(-1*~(x&~x)))+3*~((-1*y)|~(-1*~(x&~x)))+11*x+2*~x-11*~y+1*(x|~y)+9*~(x|y)-7*~(x|~y)-7*(x&~y)-17*(x&y),-7*(x|y)
-2*~(x^(1*(x&y)-5*(x|y)+5*(x|~y)-5*~(x|y)+6*~(x|~y)))+4*~y-1*~(x&~x)+1*x+4*(x|y)+1*y+1*(x|~y)+1*~(x|y)-8*(x&~y)-1*(x&(1*(x&y)-5*(x|y)+5*(x|~y)-5*~(x|y)+6*~(x|~y))),3*~(x&~y)+1*(x^y)
8*((-1*~y)&(-7*~(x&y)))+8*((-1*~y)&~(-7*~(x&y)))-6*((-1*~y)|~(-7*~(x&y)))+7*~((-1*~y)|(-7*~(x&y)))+1*~((-1*~y)|~(-7*~(x&y)))-1*~(-7*~(x&y))+3*(x|y)+11*(x|~y)-1*~x+7*y-6*~(x|y)-2*~(x|~y)-6*(x&~y)-25*(x&y),-4*~(x^y)
1*((3*~x)&(-3*~(x&y)))+8*((3*~x)&~(-3*~(x&y)))+1*~((3*~x)&~(-3*~(x&y)))+6*~((3*~x)|(-3*~(x&y)))-7*~(-3*~(x&y))+3*(x|y)-6*(x^y)+2*(x|~y)-5*~(x&~x)-6*x+3*~(x|y)+8*~(x|~y)+15*(x&~y),-6*(x&y)
10*((1*~(x&~y))&(-11*y))+3*((1*~(x&~y))&~(-11*y))-2*~((1*~(x&~y))&~(1*~(x&~y)))-6*~((1*~(x&~y))&~(-11*y))+8*~((1*~(x&~y))|(-11*y))+9*~((1*~(x&~y))|~(-11*y))-1*(x^y)+3*x+1*~(x&~x)-1*(x|~y)+5*~(x|y)+16*~(x|~y)+4*(x&~y)+7*(x&y),6*~(x&y)
-4*((-2*(x|y))&(-2*~y))+1*((-2*(x|y))&~(-2*~y))+11*(-2*~y)-5*~((-2*(x|y))&~(-2*~y))+5*~((-2*(x|y))|(-2*~y))-5*~((-2*(x|y))|~(-2*~y))+4*~(x&~y)+1*~(x^y)-5*(x|~y)-3*y+2*~(x|y)+4*~(x|~y)+12*(x&~y)+5*(x&y),3*(x^y)
16*((-1*(x^y))&(-5*~(x&y)))+1*((-1*(x^y))&~(-5*~(x&y)))-11*~((-1*(x^y))&~(-5*~(x&y)))-3*~((-1*(x^y))^(-5*~(x&y)))+14*~((-1*(x^y))|(-5*~(x&y)))+12*~((-1*(x^y))|~(-5*~(x&y)))+2*~(x^y)+4*~(x&~x)-11*x+2*y-11*~x+10*~(x|y)+2*(x&~y)-8*(x&y),-11*(x|y)
4*(x^(11*(x&y)+11*(x&~y)-11*(x|y)+1*y+11*~(x|~y)))-7*~(x&~y)-1*(x|y)-11*~x-7*x+1*y+20*~(x|y)+15*~(x|~y)+5*(x&~y)+15*(x&(11*(x&y)+11*(x&~y)-11*(x|y)+1*y+11*~(x|~y))),1*~(x^y)+1*~(x&y)
9*((5*~(x^y))&(-2*~y))+6*((5*~(x^y))&~(-2*~y))+2*((5*~(x^y))^(-2*~y))-7*((5*~(x^y))|(-2*~y))+6*~((5*~(x^y))|~(-2*~y))-1*x+3*y-6*(x^y)-7*~(x&~x)-11*(x|y)+20*~(x|~y)+24*(x&~y)+7*(x&y),-1*~(x&~y)-3*(x|~y)
1*((7*~(x&~x))&(-1*(x|~y)))-5*((7*~(x&~x))&~(-1*(x|~y)))+5*~((7*~(x&~x))&(-1*(x|~y)))+1*~((7*~(x&~x))&~(7*~(x&~x)))-6*~((7*~(x&~x))|(-1*(x|~y)))-5*~((7*~(x&~x))|~(-1*(x|~y)))+2*(x^y)+1*~y+3*x+4*(x|y)-1*~(x&y)-6*~(x|y)-15*(x&~y)-20*(x&y),-7*y+19*~(x|~y)
1*((1*y)&(1*(x|y)))+1*((1*y)|(1*(x|y)))-5*~((1*y)|(1*(x|y)))-5*~((1*y)|~(1*(x|y)))+5*~(1*y)+7*~(x^y)+1*~(x&~y)+2*(x|~y)-2*x-3*~(x&~x)-9*~(x|y)-4*~(x|~y)-7*(x&y),-2*(x^y)-2*~x
6*((-1*~y)&(1*y))+4*((-1*~y)&~(1*y))-3*((-1*~y)|~(1*y))-1*(1*y)+3*~((-1*~y)|(1*y))+2*~((-1*~y)|~(1*y))-11*(x|y)+1*~(x&~y)+3*(x^y)-7*(x|~y)+7*~(x|y)+5*~(x|~y)+15*(x&~y)+17*(x&y),1*~(x^y)-1*~(x&y)
1*((-3*(x|~y))&(-6*~(x&~y)))-1*((-3*(x|~y))&~(-6*~(x&~y)))+1*((-3*(x|~y))|(-6*~(x&~y)))-1*~((-3*(x|~y))|(-6*~(x&~y)))+1*~(-6*~(x&~y))+1*y+1*(x|y)-5*~(x&~x)+7*~(x^y)+11*x+10*~(x|~y)-3*(x&~y)-6*(x&y),-7*~(x|y)+1*(x^y)
-6*~(x^(-10*(x&y)-11*(x&~y)+11*~(x&~x)-10*~(x|y)-9*~(x|~y)-1*~x))+7*~y+5*~x+3*~(x&~x)-7*(x|y)-6*~(x&~y)+1*y-3*~(x|y)+4*~(x|~y)+15*(x&(-10*(x&y)-11*(x&~y)+11*~(x&~x)-10*~(x|y)-9*~(x|~y)-1*~x)),3*(x&~y)
-8*((-1*~(x&~x))&(-11*(x^y)))-10*((-1*~(x&~x))&~(-11*(x^y)))+11*((-1*~(x&~x))|(-11*(x^y)))-1*~((-1*~(x&~x))^(-11*(x^y)))+1*~((-1*~(x&~x))|(-11*(x^y)))-10*~((-1*~(x&~x))|~(-11*(x^y)))-11*~y+1*(x|~y)-6*~x+5*~(x&~y)-7*~(x&y)+19*~(x|y)+29*(x&~y)-5*(x&y),-20*~(x|~y)
5*((1*y)&(-2*(x|~y)))+1*((1*y)&~(-2*(x|~y)))-3*~((1*y)^(-2*(x|~y)))-1*~((1*y)|(-2*(x|~y)))-3*~((1*y)|~(-2*(x|~y)))+4*~(1*y)-11*~(x&~y)+7*~y+5*~(x&~x)-6*~(x^y)+1*x+7*~(x|y)-11*(x&~y)+12*(x&y),-5*~(x|~y)
-5*((2*x)&(11*(x|~y)))+1*((2*x)&~(11*(x|~y)))+7*~((2*x)^(11*(x|~y)))+8*~((2*x)|~(11*(x|~y)))-7*~(2*x)-2*~y+5*~x-6*(x^y)-11*y-21*~(x|y)+4*~(x|~y)-6*(x&~y)-10*(x&y),-1*(x|y)-7*~(x&~y)
3*((4*y)&(1*~y))+1*((4*y)|(1*~y))-2*~((4*y)&~(1*~y))+2*~((4*y)|(1*~y))+2*~((4*y)|~(1*~y))-1*(x^y)-7*~x+2*(x|y)-11*x+6*~(x|y)+1*~(x|~y)+9*(x&~y)+5*(x&y),1*(x|~y)-1*~(x&~x)
3*~(-3*(x&y)-7*(x&~y)+4*x-3*~(x|y)+1*~(x|~y)+3*~y)-1*(x^y)+5*y+7*~(x&~y)-2*~(x^y)+4*(x|y)-11*~(x&y)-4*~(x|~y)+5*(x&~y)-14*(x&(-3*(x&y)-7*(x&~y)+4*x-3*~(x|y)+1*~(x|~y)+3*~y)),-3*~(x|y)
9*((-5*x)&(11*~(x^y)))+7*((-5*x)&~(11*~(x^y)))-6*((-5*x)|~(11*~(x^y)))-1*(11*~(x^y))+6*~((-5*x)|(11*~(x^y)))+2*~((-5*x)|~(11*~(x^y)))-2*~x+4*~(x&y)+1*(x|y)+7*y-2*~(x|y)-10*~(x|~y)+11*(x&~y)-3*(x&y),11*(x|~y)
1*~(x&~(1*(x&y)-2*(x&~y)-3*~(x|y)+1*~x+2*~y))+7*~(x^y)-2*~(x&y)-2*(x|~y)+7*~x+1*(x^y)+7*~y+2*~(x&~x)-20*~(x|y)-8*(x&(1*(x&y)-2*(x&~y)-3*~(x|y)+1*~x+2*~y)),6*(x&~y)+9*~(x|~y)
6*((11*~x)&(-3*~(x&y)))+1*((11*~x)&~(-3*~(x&y)))-1*(-3*~(x&y))-3*~((11*~x)^(-3*~(x&y)))+3*~((11*~x)|(-3*~(x&y)))+2*~((11*~x)|~(-3*~(x&y)))+2*y-1*~(x&~x)+5*~(x&~y)+4*~y-18*~(x|y)-14*~(x|~y)-2*(x&~y)-8*(x&y),-2*(x|~y)
7*(-6*(x&y)+7*~(x&~y)-8*~(x|y)-7*~(x|~y)+1*~x)+3*~y-5*(x^y)-5*~(x^y)+2*~x-1*~(x&~y)+2*~(x|y)-3*~(x|~y)+4*(x&~y)+1*(x&(-6*(x&y)+7*~(x&~y)-8*~(x|y)-7*~(x|~y)+1*~x)),1*x+1*(x|~y)
1*((-11*~(x&y))&(-6*~(x&~y)))+3*((-11*~(x&y))&~(-6*~(x&~y)))+1*~((-11*~(x&y))^(-6*~(x&~y)))+1*~((-11*~(x&y))|(-6*~(x&~y)))+1*~((-11*~(x&y))|~(-6*~(x&~y)))-2*~(-6*~(x&~y))-3*(x|~y)+7*x-7*~(x^y)-1*~x+2*y+24*~(x|y)+16*~(x|~y)+3*(x&~y),-4*~y-7*(x&y)
9*((2*(x^y))&(-11*(x|~y)))-10*((2*(x^y))&~(-11*(x|~y)))-7*(-11*(x|~y))-11*~((2*(x^y))|(-11*(x|~y)))+8*~((2*(x^y))|~(-11*(x|~y)))+11*~(-11*(x|~y))+1*y-1*~(x&~y)-3*~(x&y)-2*~(x^y)-5*(x|y)+10*~(x|y)-1*~(x|~y)+11*(x&y),-10*(x&~y)-7*~(x&~x)
2*((3*(x|~y))&(4*~(x&~x)))-1*((3*(x|~y))&~(4*~(x&~x)))+2*((3*(x|~y))|~(4*~(x&~x)))-2*(4*~(x&~x))-2*~((3*(x|~y))|(4*~(x&~x)))+3*~((3*(x|~y))|~(4*~(x&~x)))+5*y-1*~(x&y)+1*x+3*(x^y)+1*(x|y)-6*~(x|y)-12*~(x|~y)-14*(x&y),11*(x&~y)
-4*((3*~(x&y))&(-7*(x|y)))-1*((3*~(x&y))&~(-7*(x|y)))+2*~((3*~(x&y))&~(3*~(x&y)))+4*~((3*~(x&y))^(-7*(x|y)))-6*~((3*~(x&y))|(-7*(x|y)))-1*~((3*~(x&y))|~(-7*(x|y)))+3*(x|~y)+7*(x^y)-1*~(x&~y)+5*~y+1*~(x^y)-2*~(x|~y)-11*(x&~y)+4*(x&y),11*~(x|y)
-5*((-1*~(x&~y))&(-7*~y))+7*(-7*~y)-1*~((-1*~(x&~y))|(-7*~y))-6*~((-1*~(x&~y))|~(-7*~y))+1*~(-7*~y)-11*(x|y)-2*~(x^y)+1*(x|~y)-11*x-2*(x^y)+9*~(x|y)+30*(x&~y)+24*(x&y),-14*~(x|~y)
1*~(x&~x)+1*(x|~y)-5*~(x&y)+11*~(x&~y)+3*y+3*~(x^y)-11*~(x|y)+1*~(x|~y)+14*(x&~y)-8*(x&(2*(x&y)+1*(x&~y)-6*(x|y)+5*~(x&~x)-5*~(x|y)+2*~(x|~y))),11*(x|y)
-1*((-1*~(x^y))&(11*~(x&y)))-10*((-1*~(x^y))&~(11*~(x&y)))+11*((-1*~(x^y))^(11*~(x&y)))+3*(11*~(x&y))-13*~((-1*~(x^y))|~(11*~(x&y)))+4*x+1*~x-5*~y+1*(x|~y)+4*(x^y)-11*~(x|~y)-10*(x&~y)+1*(x&y),5*(x|y)+7*~(x|y)
-6*~x+1*~(x^y)-6*~(x&~y)-1*(x|~y)+1*x+5*(x|y)+11*~(x|y)+4*~(x|~y)-6*(x&~y)-3*(x&(-4*(x&y)-6*~(x&~y)+11*~(x^y)-5*~(x|y)+7*~(x|~y))),-1*~(x&~x)-2*y
-5*x+5*~(x&~x)+1*~y-5*~(x&~y)+5*~x-3*(x^y)-5*~(x|y)-5*~(x|~y)-1*(x&~y)+3*(x&(2*(x&y)-2*(x&~y)+2*(x|y)-3*~(x^y)+3*~(x|y)-1*~(x|~y))),1*~(x^y)-3*(x|y)
4*((-6*~(x&~x))&(3*~(x&~y)))+1*((-6*~(x&~x))&~(3*~(x&~y)))-2*~((-6*~(x&~x))^(3*~(x&~y)))+9*~((-6*~(x&~x))|(3*~(x&~y)))+8*~((-6*~(x&~x))|~(3*~(x&~y)))-7*~(-6*~(x&~x))-6*~x-2*~(x&y)+3*~(x^y)-3*(x^y)+1*y+8*~(x|y)+11*(x&~y)-1*(x&y),-13*~(x|~y)
2*((-2*x)&(-5*(x|y)))-5*((-2*x)&~(-5*(x|y)))+5*((-2*x)^(-5*(x|y)))-1*~((-2*x)|(-5*(x|y)))-4*~((-2*x)|~(-5*(x|y)))+1*~(-5*(x|y))-1*~(x&y)-3*y+7*(x|~y)-7*~(x&~y)+1*~(x|y)+16*~(x|~y)+2*(x&~y)+9*(x&y),-1*~(x^y)+1*~y
5*((-1*(x|y))&(4*~(x^y)))+1*((-1*(x|y))&~(4*~(x^y)))-5*(4*~(x^y))+2*~((-1*(x|y))&~(4*~(x^y)))-2*~((-1*(x|y))|(4*~(x^y)))+4*~((-1*(x|y))|~(4*~(x^y)))-5*~(x&~y)+1*x-7*(x|~y)+3*~(x&~x)-3*~x+5*y-1*(x^y)+8*~(x|y),-2*~(x|~y)-5*(x&~y)
-6*((2*~x)&(2*(x|y)))+1*((2*~x)&~(2*(x|y)))+4*(2*(x|y))+4*~((2*~x)^(2*(x|y)))-4*~((2*~x)|(2*(x|y)))-3*~((2*~x)|~(2*(x|y)))-1*~(x&~y)-1*y+1*~(x&~x)-7*x+1*~(x^y)-3*~(x|y)+4*(x&~y)+5*(x&y),3*~(x|~y)
8*((-2*~(x&~y))&(11*~x))+7*((-2*~(x&~y))&~(11*~x))-6*((-2*~(x&~y))|(11*~x))+3*~((-2*~(x&~y))|(11*~x))+10*~((-2*~(x&~y))|~(11*~x))-3*~(-2*~(x&~y))+2*x+1*~(x^y)-7*(x^y)-3*y-14*~(x|y)-3*~(x|~y)+1*(x&~y)+2*(x&y),-4*~(x&y)
13*((7*~y)&(-11*(x|~y)))+13*((7*~y)&~(-11*(x|~y)))-1*~((7*~y)&(-11*(x|~y)))-11*~((7*~y)&~(7*~y))+12*~((7*~y)|(-11*(x|~y)))+13*~((7*~y)|~(-11*(x|~y)))-5*~(x&~y)-2*y-2*~(x^y)-6*~x+18*~(x|y)+14*~(x|~y)+5*(x&~y)+20*(x&y),1*~(x&y)
13*((-7*x)&(1*(x|~y)))+1*((-7*x)&~(1*(x|~y)))-11*(1*(x|~y))-1*~((-7*x)|(1*(x|~y)))+11*~((-7*x)|~(1*(x|~y)))+1*~(-7*x)-1*(x|y)+3*~y-1*~(x&~x)-1*~(x&~y)+4*~(x^y)-6*~(x|y)+2*~(x|~y)+4*(x&y),-1*y-5*(x&~y)
2*((1*~(x&y))&(-1*~y))+1*((1*~(x&y))&~(-1*~y))-2*(-1*~y)+2*~((1*~(x&y))&~(-1*~y))-2*~((1*~(x&y))|(-1*~y))+1*~((1*~(x&y))|~(-1*~y))+5*x-5*~(x&~y)-1*~(x^y)-2*(x|~y)+4*y+2*~x+6*~(x|y)-1*~(x|~y),1*(x|y)+2*(x&~y)
-1*(6*(x&y)+5*(x&~y)-5*~(x&~x)+16*~(x|y)+17*~(x|~y)-11*~x)+5*(x|~y)+11*(x|y)+11*~(x^y)+7*x+2*~(x&~x)-7*~(x|y)-12*~(x|~y)-14*(x&~y)-35*(x&(6*(x&y)+5*(x&~y)-5*~(x&~x)+16*~(x|y)+17*~(x|~y)-11*~x)),11*~y
5*(x|~(4*(x&y)+5*(x&~y)-5*x+2*~(x&~y)-2*~(x|y)-1*~(x|~y)))-7*(x|y)+5*~(x&~y)+2*~y-11*~(x&y)-6*(x^y)+5*x+26*~(x|~y)+19*(x&~y)-1*(x&(4*(x&y)+5*(x&~y)-5*x+2*~(x&~y)-2*~(x|y)-1*~(x|~y))),-6*~(x|y)+7*~(x&~x)
5*(x|(13*(x&y)+11*(x&~y)-11*~(x&~x)-1*~(x&~y)+12*~(x|y)+13*~(x|~y)))-2*y+7*~x+7*~(x&~y)-5*(x|~y)-7*~(x&~x)+5*~(x|y)-7*~(x|~y)+10*(x&~y)+2*(x&(13*(x&y)+11*(x&~y)-11*~(x&~x)-1*~(x&~y)+12*~(x|y)+13*~(x|~y))),-4*(x^y)+7*~(x&y)
-1*~(x&~(-12*(x&y)-11*(x&~y)+11*(x|y)+2*~(x^y)-2*~(x|y)-10*~(x|~y)))-7*~(x&~x)+2*(x|y)-11*x-2*~(x^y)-1*(x|~y)+14*~(x|y)+9*~(x|~y)+17*(x&~y)+20*(x&(-12*(x&y)-11*(x&~y)+11*(x|y)+2*~(x^y)-2*~(x|y)-10*~(x|~y))),3*~x
7*((-1*~x)&(5*(x|y)))+6*((-1*~x)&~(5*(x|y)))-5*~((-1*~x)^(5*(x|y)))+10*~((-1*~x)|(5*(x|y)))+1*~((-1*~x)|~(5*(x|y)))-5*~(5*(x|y))+5*x+2*~(x^y)+3*(x^y)-1*y+2*~(x|y)-6*~(x|~y)-10*(x&~y)-9*(x&y),2*(x|~y)+1*~y
-6*(-1*(x&y)-5*y+7*~(x&~y)-7*~(x|y)-1*~(x|~y))+3*(x|y)+3*(x|~y)-5*~y+4*~(x&~y)-3*~(x&~x)+7*x+1*~(x&y)-6*(x&~y)-8*(x&(-1*(x&y)-5*y+7*~(x&~y)-7*~(x|y)-1*~(x|~y))),-1*~(x|~y)
5*((-5*~y)&(2*~(x&y)))+4*((-5*~y)&~(2*~(x&y)))-3*((-5*~y)|~(2*~(x&y)))+5*~((-5*~y)|(2*~(x&y)))+3*~((-5*~y)|~(2*~(x&y)))-2*~(-5*~y)+7*(x^y)-3*(x|~y)-1*x-3*y-1*~x-1*~(x&~y)+8*~(x|y)+8*(x&y),4*~(x|~y)
-1*((-5*~y)&(7*(x|y)))+2*((-5*~y)&~(7*(x|y)))-1*((-5*~y)|(7*(x|y)))+4*(7*(x|y))-2*~((-5*~y)|~(7*(x|y)))-3*~x-11*~(x&y)+11*~(x&~x)-6*y+5*(x|~y)+4*~(x^y)+2*x+2*~(x|~y)-9*(x&~y),1*~(x|y)+23*(x&y)
1*~(x^(-6*(x&y)-7*(x&~y)+4*(x|y)+3*(x|~y)-3*~(x|y)-3*~(x|~y)))-1*(x|~y)+4*~(x&~x)-5*~x-1*~y-1*y-3*~(x&y)-7*~(x&~y)+12*~(x|y)+2*(x&~y)+5*(x&(-6*(x&y)-7*(x&~y)+4*(x|y)+3*(x|~y)-3*~(x|y)-3*~(x|~y))),1*x-12*~(x|~y)
4*((1*(x|~y))&(1*~(x^y)))+8*((1*(x|~y))&~(1*~(x^y)))-2*~((1*(x|~y))^(1*~(x^y)))+9*~((1*(x|~y))|(1*~(x^y)))+1*~((1*(x|~y))|~(1*~(x^y)))-7*~(1*~(x^y))+5*~y+2*~(x&~y)-1*(x|y)-1*~(x&y)-6*(x^y)-8*~(x|y)+6*~(x|~y)+1*(x&~y)-4*(x&y),-1*x
4*~(x&(-3*(x&~y)+1*y-3*~(x|y)+3*~y))-2*~x-7*(x^y)+1*y+1*(x|y)-3*~(x&~x)+2*~y-6*~(x^y)+5*~(x|y)+6*~(x|~y)+7*(x&(-3*(x&~y)+1*y-3*~(x|y)+3*~y)),-3*(x&~y)
12*((-5*(x|y))&(7*~(x&y)))+11*((-5*(x|y))&~(7*~(x&y)))-11*(-5*(x|y))+1*~((-5*(x|y))&~(-5*(x|y)))-1*~((-5*(x|y))|(7*~(x&y)))+1*~x+1*~y+5*(x|~y)-6*y-1*~(x&~x)-12*~(x|y)+5*~(x|~y)-6*(x&~y)+9*(x&y),1*x+1*~(x&~y)
3*((-1*~(x&y))&(-11*~(x&~y)))-3*((-1*~(x&y))&~(-11*~(x&~y)))+5*((-1*~(x&y))^(-11*~(x&~y)))-1*~((-1*~(x&y))&~(-1*~(x&y)))+1*~((-1*~(x&y))|(-11*~(x&~y)))-3*~((-1*~(x&y))|~(-11*~(x&~y)))-7*(x|~y)+11*~y+4*y+4*~x-2*(x^y)-3*~(x|y)+6*~(x|~y)-1*(x&~y)+7*(x&y),-7*~(x^y)
3*((2*(x|y))&(1*(x|~y)))+3*((2*(x|y))&~(1*(x|~y)))-2*~((2*(x|y))&(1*(x|~y)))-1*~((2*(x|y))&~(1*(x|~y)))+3*~((2*(x|y))|(1*(x|~y)))+4*~((2*(x|y))|~(1*(x|~y)))-7*~(x&~y)-11*~y-6*~(x&y)-1*~(x^y)+11*~x-2*~(x&~x)+15*~(x|y)+2*~(x|~y)+16*(x&~y),-7*(x&y)
5*((-2*~x)&(3*~(x^y)))+4*((-2*~x)&~(3*~(x^y)))-2*((-2*~x)|(3*~(x^y)))-1*((-2*~x)|~(3*~(x^y)))+1*~((-2*~x)|(3*~(x^y)))+3*~((-2*~x)|~(3*~(x^y)))-7*~(x&y)+2*y-2*~(x&~y)+5*~y-6*(x|~y)+9*~(x|y)+5*~(x|~y)+4*(x&~y)-1*(x&y),-4*(x|y)
-5*((7*x)&(-1*(x^y)))+2*((7*x)&~(-1*(x^y)))-1*~((7*x)&(-1*(x^y)))+7*~((7*x)&~(-1*(x^y)))-6*~((7*x)|(-1*(x^y)))-5*~((7*x)|~(-1*(x^y)))+1*y-2*~(x&y)+2*(x|y)-2*~(x&~y)+4*~x-1*~(x|y)-3*~(x|~y)-7*(x&~y)-9*(x&y),-1*~(x&~x)
13*((2*(x|y))&(5*x))+23*((2*(x|y))&~(5*x))-11*((2*(x|y))|~(5*x))+22*~((2*(x|y))|(5*x))+1*~((2*(x|y))|~(5*x))-11*~(5*x)+1*~x-7*~(x&y)-2*(x^y)+1*~(x&~y)-5*~(x^y)+16*~(x|y)+11*~(x|~y)+8*(x&~y)+3*(x&y),6*~(x&~x)
3*((-11*y)&(4*~(x&~y)))+1*((-11*y)&~(4*~(x&~y)))-1*(4*~(x&~y))-5*~((-11*y)|(4*~(x&~y)))-3*~((-11*y)|~(4*~(x&~y)))+5*~(-11*y)+5*~y-11*~(x^y)-1*(x|~y)-7*~x+7*~(x&~x)+1*x+4*~(x|y)+19*~(x|~y)+22*(x&y),1*~(x&y)+11*(x|y)
-3*((2*(x^y))&(-1*(x|~y)))+1*((2*(x^y))&~(-1*(x|~y)))+4*(-1*(x|~y))+1*~((2*(x^y))^(-1*(x|~y)))-1*~((2*(x^y))|(-1*(x|~y)))-3*~((2*(x^y))|~(-1*(x|~y)))-1*x+2*(x|y)+1*y+4*~(x&~y)+2*~(x&~x)-11*~y+6*~(x|y)-11*~(x|~y)-7*(x&y),-7*(x&~y)
-2*~(x&~x)-2*~(x&~y)-2*y-11*x-1*(x|y)+5*~(x&y)-6*(x|~y)+16*~(x|y)+2*~(x|~y)+26*(x&~y)+24*(x&(4*(x&y)+1*(x&~y)-2*y-1*~(x&~x)+1*~(x|y)+4*~(x|~y))),11*~y
6*((11*~(x^y))&(-11*~(x&~x)))+2*((11*~(x^y))&~(-11*~(x&~x)))-1*~((11*~(x^y))&~(11*~(x^y)))-3*~((11*~(x^y))^(-11*~(x&~x)))+4*~((11*~(x^y))|(-11*~(x&~x)))+2*~((11*~(x^y))|~(-11*~(x&~x)))+11*~(x&~y)+2*x-3*~x+7*~y-2*(x|y)-1*(x^y)+9*~(x|~y)+8*(x&~y)-11*(x&y),3*~(x&y)+12*~(x|y)
-5*((-1*(x^y))&(-2*~(x&~y)))+1*((-1*(x^y))&~(-2*~(x&~y)))+7*~((-1*(x^y))^(-2*~(x&~y)))+8*~((-1*(x^y))|~(-2*~(x&~y)))-7*~(-1*(x^y))-11*~y-3*~x-11*(x|y)+7*x-1*(x|~y)+3*~(x&y)+9*~(x|~y)+14*(x&~y)+2*(x&y),-5*y-14*~(x|y)
2*((-11*(x^y))&(-3*~(x&~y)))+7*((-11*(x^y))^(-3*~(x&~y)))+6*~((-11*(x^y))|(-3*~(x&~y)))-6*~((-11*(x^y))|~(-3*~(x&~y)))-6*~(-3*~(x&~y))+11*(x|y)+11*~y-11*(x|~y)-6*~(x&y)-3*~(x&~x)+12*~(x|y)+12*~(x|~y)-2*(x&~y)-5*(x&y),-11*x
1*~(x&~x)+1*~(x&y)-11*~(x^y)+1*~(x&~y)-1*(x|y)-3*y+1*~y-1*x+1*(x^y)-2*(x&~y)+14*(x&(-3*(x&y)-6*(x&~y)+2*~(x&y)+4*~(x&~x)-6*~(x|y)-5*~(x|~y))),-7*~(x|y)
10*((-1*~(x^y))&(-1*~y))+2*((-1*~(x^y))&~(-1*~y))-1*((-1*~(x^y))|(-1*~y))-7*(-1*~y)+9*~((-1*~(x^y))|~(-1*~y))+2*~(x&y)-3*~x+3*(x^y)+2*x+1*(x|~y)-5*~(x&~y)+7*~(x|y)-12*(x&~y)-2*(x&y),-5*(x|y)+2*~(x|~y)
11*((4*~x)&(5*~y))+12*((4*~x)&~(5*~y))-11*((4*~x)|(5*~y))+2*(5*~y)+10*~((4*~x)|~(5*~y))-2*~(x^y)-11*~(x&y)+1*y+4*(x^y)+1*x+4*~(x&~x)-2*~(x&~y)+5*~(x|y)+1*(x&y),3*(x|~y)
-7*~x-5*~(x&~x)+7*y+2*~(x&y)+1*~(x&~y)-3*~y+4*~(x^y)+8*~(x|y)-8*~(x|~y)-4*(x&~y)-6*(x&(3*(x&y)+2*(x^y)-2*x-1*~(x|~y))),-11*(x^y)+1*(x|y)
