# expression,groundtruth
((((((d & ~ d) << 1) - (d ^ d)) ^ ((d ^ b) + ((d & b) << 1))) - ((~ (((d & ~ d) << 1) - (d ^ d)) & ((d ^ b) + ((d & b) << 1))) + (~ (((d & ~ d) << 1) - (d ^ d)) & ((d ^ b) + ((d & b) << 1))))) ^ (- (((d + ((~ (((d - b) - ((d | ~ b) << 1)) - 2) | b) - ~ (((d - b) - ((d | ~ b) << 1)) - 2))) + 1) + ((- d - 1) | (- ((~ (((d - b) - ((d | ~ b) << 1)) - 2) | b) - ~ (((d - b) - ((d | ~ b) << 1)) - 2)) - 1))) - 1)) + (((((((d & ~ d) << 1) - (d ^ d)) ^ ((d ^ b) + ((d & b) << 1))) - ((~ (((d & ~ d) << 1) - (d ^ d)) & ((d ^ b) + ((d & b) << 1))) + (~ (((d & ~ d) << 1) - (d ^ d)) & ((d ^ b) + ((d & b) << 1))))) & (- (((d + ((~ (((d - b) - ((d | ~ b) << 1)) - 2) | b) - ~ (((d - b) - ((d | ~ b) << 1)) - 2))) + 1) + ((- d - 1) | (- ((~ (((d - b) - ((d | ~ b) << 1)) - 2) | b) - ~ (((d - b) - ((d | ~ b) << 1)) - 2)) - 1))) - 1)) << 1),((((d-d)-(d+b))+(~(d|((d^b)&b)))))
~ (~ ((((((~ (~ (d - 1)) | d) + ~ (d - 1)) + 1) | (((- d - 1) ^ d) - ((~ (- d - 1) & d) + (~ (- d - 1) & d)))) + ((((~ (~ (d - 1)) | d) + ~ (d - 1)) + 1) & (((- d - 1) ^ d) - ((~ (- d - 1) & d) + (~ (- d - 1) & d))))) - 1)) + 1,((-(-(((-d)&d)+((~d)-d)))))
~ ((((~ (((~ c | ((~ a | e) - ~ a)) + c) + 1) + 1) & ((((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) | ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) + (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ~ ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (~ ((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))))) * ((~ (((~ c | ((~ a | e) - ~ a)) + c) + 1) + 1) | ((((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) | ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) + (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ~ ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (~ ((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))))) + ((~ (((~ c | ((~ a | e) - ~ a)) + c) + 1) + 1) & ~ ((((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) | ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) + (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ~ ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (~ ((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))))) * (~ (~ (((~ c | ((~ a | e) - ~ a)) + c) + 1) + 1) & ((((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) | ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) + (((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ~ ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1))))) * (~ ((((~ c | a) - ~ c) ^ e) + ((((~ c | a) - ~ c) & e) << 1)) & ((c ^ ~ (a - 1)) - ((~ c & ~ (a - 1)) + (~ c & ~ (a - 1)))))))) - 1),((-((-(c&(a&e)))*(((c&a)+e)*(c-(-a))))))
((((((((((b & ~ e) + (b & ~ e)) - (b ^ e)) + b) + 1) + ((- (((b & ~ e) + (b & ~ e)) - (b ^ e)) - 1) | (- b - 1))) + (((~ b | e) + b) + 1)) + 1) + ((- ((((((b & ~ e) + (b & ~ e)) - (b ^ e)) + b) + 1) + ((- (((b & ~ e) + (b & ~ e)) - (b ^ e)) - 1) | (- b - 1))) - 1) | (- (((~ b | e) + b) + 1) - 1))) & ~ (((b - b) - ((b | ~ b) << 1)) - 2)) + (((b - b) - ((b | ~ b) << 1)) - 2),(((((b-e)|b)|(b&e))|(b^b)))
((((b + ~ (~ (((b | b) << 1) - (b ^ b)) + 1)) + 1) - (- (((d ^ ~ d) + ((d | d) << 1)) + 1) - 1)) - ((((b + ~ (~ (((b | b) << 1) - (b ^ b)) + 1)) + 1) | ~ (- (((d ^ ~ d) + ((d | d) << 1)) + 1) - 1)) + (((b + ~ (~ (((b | b) << 1) - (b ^ b)) + 1)) + 1) | ~ (- (((d ^ ~ d) + ((d | d) << 1)) + 1) - 1)))) - 2,(((b-(-(b+b)))^(~(d+d))))
(((- ((c & c) * (c | c) + (c & ~ c) * (~ c & c)) - 1) + (((((c + ((b & ~ c) - (~ b & c))) + 1) + ((- c - 1) | (- ((b & ~ c) - (~ b & c)) - 1))) | (((c - c) - ((c | ~ c) + (c | ~ c))) - 2)) - ((((c + ((b & ~ c) - (~ b & c))) + 1) + ((- c - 1) | (- ((b & ~ c) - (~ b & c)) - 1))) & (((c - c) - ((c | ~ c) + (c | ~ c))) - 2)))) + 1) + ((- (- ((c & c) * (c | c) + (c & ~ c) * (~ c & c)) - 1) - 1) | (- (((((c + ((b & ~ c) - (~ b & c))) + 1) + ((- c - 1) | (- ((b & ~ c) - (~ b & c)) - 1))) | (((c - c) - ((c | ~ c) + (c | ~ c))) - 2)) - ((((c + ((b & ~ c) - (~ b & c))) + 1) + ((- c - 1) | (- ((b & ~ c) - (~ b & c)) - 1))) & (((c - c) - ((c | ~ c) + (c | ~ c))) - 2))) - 1)),(((~(c*c))|((c|(b-c))^(c^c))))
(((((d | ((~ c | c) - ~ c)) << 1) - (d ^ ((~ c | c) - ~ c))) ^ ~ (((- (((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d) * ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) | d) + ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & ~ d) * (~ (((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d)) - 1) & ~ (- ((~ d | d) - ~ d) - 1)) + (- ((~ d | d) - ~ d) - 1))) + (((((d | ((~ c | c) - ~ c)) << 1) - (d ^ ((~ c | c) - ~ c))) | (((- (((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d) * ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) | d) + ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & ~ d) * (~ (((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d)) - 1) & ~ (- ((~ d | d) - ~ d) - 1)) + (- ((~ d | d) - ~ d) - 1))) + ((((d | ((~ c | c) - ~ c)) << 1) - (d ^ ((~ c | c) - ~ c))) | (((- (((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d) * ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) | d) + ((((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & ~ d) * (~ (((c + ((c | d) + (c & d))) + 1) + ((- c - 1) | (- ((c | d) + (c & d)) - 1))) & d)) - 1) & ~ (- ((~ d | d) - ~ d) - 1)) + (- ((~ d | d) - ~ d) - 1))))) + 1,(((d+(c&c))+((~((c|(c+d))*d))|(~(d&d)))))
- ((~ ((~ (c - 1) & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) - (~ (~ (c - 1)) & ((a & c) * (a | c) + (a & ~ c) * (~ a & c)))) | ~ (((a & ~ c) + c) - 1)) - ~ ((~ (c - 1) & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) - (~ (~ (c - 1)) & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))))) - 1,((~(((-c)-(a*c))&(-(a|c)))))
((((((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) & ~ (c - 1)) - (((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) | ~ (c - 1))) - 1) ^ ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) | ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1)))) - (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1)))))) - ((~ (((((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) & ~ (c - 1)) - (((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) | ~ (c - 1))) - 1) & ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) | ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1)))) - (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1)))))) + (~ (((((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) & ~ (c - 1)) - (((((b ^ b) - ((~ b & b) << 1)) | c) - (((b ^ b) - ((~ b & b) << 1)) & c)) | ~ (c - 1))) - 1) & ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) | ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1)))) - (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ((b & ~ (c - 1)) * (b | ~ (c - 1)) + (b & ~ (~ (c - 1))) * (~ b & ~ (c - 1))))))),(((~(((b-b)^c)^(-c)))-((c*c)^(b*(-c)))))
(~ ((e | e) + (e & e)) | ((e & ~ ((e & ~ b) + b)) + ((e & ~ b) + b))) - ~ ((e | e) + (e & e)),(((e+e)&(e|(e|b))))
(((~ (((((e + e) + 1) + ((- e - 1) | (- e - 1))) | ((~ (- e - 1) | c) - ~ (- e - 1))) + ((((e + e) + 1) + ((- e - 1) | (- e - 1))) & ((~ (- e - 1) | c) - ~ (- e - 1)))) + 1) | (~ (((~ c + 1) & (~ b + 1)) * ((~ c + 1) | (~ b + 1)) + ((~ c + 1) & ~ (~ b + 1)) * (~ (~ c + 1) & (~ b + 1))) + 1)) + ((~ (((((e + e) + 1) + ((- e - 1) | (- e - 1))) | ((~ (- e - 1) | c) - ~ (- e - 1))) + ((((e + e) + 1) + ((- e - 1) | (- e - 1))) & ((~ (- e - 1) | c) - ~ (- e - 1)))) + 1) | (~ (((~ c + 1) & (~ b + 1)) * ((~ c + 1) | (~ b + 1)) + ((~ c + 1) & ~ (~ b + 1)) * (~ (~ c + 1) & (~ b + 1))) + 1))) - ((~ (((((e + e) + 1) + ((- e - 1) | (- e - 1))) | ((~ (- e - 1) | c) - ~ (- e - 1))) + ((((e + e) + 1) + ((- e - 1) | (- e - 1))) & ((~ (- e - 1) | c) - ~ (- e - 1)))) + 1) ^ (~ (((~ c + 1) & (~ b + 1)) * ((~ c + 1) | (~ b + 1)) + ((~ c + 1) & ~ (~ b + 1)) * (~ (~ c + 1) & (~ b + 1))) + 1)),(((-((e|e)+((~e)&c)))+(-((-c)*(-b)))))
((((c ^ ((c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (c | ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + (c & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (~ c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))))) + ((c & ((c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (c | ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + (c & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (~ c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))))) << 1)) + ~ (((a & a) * (a | a) + (a & ~ a) * (~ a & a)) - 1)) + 1) + ((- ((c ^ ((c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (c | ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + (c & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (~ c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))))) + ((c & ((c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (c | ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + (c & ~ ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) * (~ c & ((a & c) * (a | c) + (a & ~ c) * (~ a & c))))) << 1)) - 1) | (- (~ (((a & a) * (a | a) + (a & ~ a) * (~ a & a)) - 1)) - 1)),(((c+(c*(a*c)))|(-(a*a))))
(((b & ~ ((b ^ ((~ b | a) - ~ b)) - ((~ b & ((~ b | a) - ~ b)) << 1))) + ((b ^ ((~ b | a) - ~ b)) - ((~ b & ((~ b | a) - ~ b)) << 1))) | ((((b & a) * (b | a) + (b & ~ a) * (~ b & a)) ^ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((((b & a) * (b | a) + (b & ~ a) * (~ b & a)) & ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1))) - (((b & ~ ((b ^ ((~ b | a) - ~ b)) - ((~ b & ((~ b | a) - ~ b)) << 1))) + ((b ^ ((~ b | a) - ~ b)) - ((~ b & ((~ b | a) - ~ b)) << 1))) & ((((b & a) * (b | a) + (b & ~ a) * (~ b & a)) ^ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((((b & a) * (b | a) + (b & ~ a) * (~ b & a)) & ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1))),(((b|(b-(b&a)))^((b*a)+(b*b))))
(((((e | d) - (e & d)) & e) * (((e | d) - (e & d)) | e) + (((e | d) - (e & d)) & ~ e) * (~ ((e | d) - (e & d)) & e)) + 1) + 1,((-(~(-(~((e^d)*e))))))
((((~ b | (((((- b - 1) & e) * ((- b - 1) | e) + ((- b - 1) & ~ e) * (~ (- b - 1) & e)) & ~ a) + a)) + b) + 1) & ~ (~ b + 1)) + (~ b + 1),(((b&(((~b)*e)|a))|(-b)))
~ (((((d & b) + ~ (d | b)) & ~ (~ (e - 1))) - (~ ((d & b) + ~ (d | b)) & ~ (e - 1))) - 1),((-((~(d^b))-(-e))))
((~ (((d ^ ~ d) + ((d | d) << 1)) + 1) | ((((- e - 1) - (((((d & b) * (d | b) + (d & ~ b) * (~ d & b)) + ((e & d) * (e | d) + (e & ~ d) * (~ e & d))) + 1) + ((- ((d & b) * (d | b) + (d & ~ b) * (~ d & b)) - 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)))) - (((- e - 1) | ~ (((((d & b) * (d | b) + (d & ~ b) * (~ d & b)) + ((e & d) * (e | d) + (e & ~ d) * (~ e & d))) + 1) + ((- ((d & b) * (d | b) + (d & ~ b) * (~ d & b)) - 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)))) + ((- e - 1) | ~ (((((d & b) * (d | b) + (d & ~ b) * (~ d & b)) + ((e & d) * (e | d) + (e & ~ d) * (~ e & d))) + 1) + ((- ((d & b) * (d | b) + (d & ~ b) * (~ d & b)) - 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)))))) - 2)) + (((d ^ ~ d) + ((d | d) << 1)) + 1)) + 1,(((d+d)&((~e)^((d*b)|(e*d)))))
~ ((((- ((d & ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) * (d | ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) + (d & ~ ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) * (~ d & ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1))))))) - 1) & ~ ((d & ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) * (d | ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) + (d & ~ ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) * (~ d & ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))))) - (~ (- ((d & ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) * (d | ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) + (d & ~ ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))))) * (~ d & ((e & (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (e | (((e + d) + 1) + ((- e - 1) | (- d - 1)))) + (e & ~ (((e + d) + 1) + ((- e - 1) | (- d - 1)))) * (~ e & (((e + d) + 1) + ((- e - 1) | (- d - 1))))))) - 1) & ((d & ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) * (d | ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) + (d & ~ ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e)))) * (~ d & ((e & ~ ((e | e) + (e & e))) + ((e | e) + (e & e))))))) - 1),((-((~(d*(e*(e|d))))-(d*(e|(e+e))))))
(((e | a) - (e & a)) - ~ ((((- a - 1) ^ ~ e) + (((- a - 1) | e) << 1)) + 1)) - 1,(((e^a)+((~a)+e)))
(~ ((((a + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- a - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1))) - 1) & (((((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * ((((a + c) + 1) + ((- a - 1) | (- c - 1))) | (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) + ((((a + c) + 1) + ((- a - 1) | (- c - 1))) & ~ (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * (~ (((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))))) * (~ ((((a + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- a - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1))) - 1) | (((((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * ((((a + c) + 1) + ((- a - 1) | (- c - 1))) | (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) + ((((a + c) + 1) + ((- a - 1) | (- c - 1))) & ~ (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * (~ (((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))))) + (~ ((((a + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- a - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1))) - 1) & ~ (((((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * ((((a + c) + 1) + ((- a - 1) | (- c - 1))) | (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) + ((((a + c) + 1) + ((- a - 1) | (- c - 1))) & ~ (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * (~ (((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))))) * (~ (~ ((((a + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- a - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1))) - 1)) & (((((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * ((((a + c) + 1) + ((- a - 1) | (- c - 1))) | (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) + ((((a + c) + 1) + ((- a - 1) | (- c - 1))) & ~ (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))) * (~ (((a + c) + 1) + ((- a - 1) | (- c - 1))) & (((((c | a) + (c | a)) - (c ^ a)) | a) - ((((c | a) + (c | a)) - (c ^ a)) & a))))),(((-(a|(a*c)))*((a|c)*((c+a)^a))))
((- (((e + ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1))) + 1) + ((- e - 1) | (- ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1)) - 1))) - 1) & (((b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))) + (b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1))))) - (b ^ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))))) * ((- (((e + ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1))) + 1) + ((- e - 1) | (- ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1)) - 1))) - 1) | (((b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))) + (b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1))))) - (b ^ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))))) + ((- (((e + ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1))) + 1) + ((- e - 1) | (- ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1)) - 1))) - 1) & ~ (((b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))) + (b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1))))) - (b ^ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))))) * (~ (- (((e + ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1))) + 1) + ((- e - 1) | (- ((((e & ~ e) + e) ^ b) - ((~ ((e & ~ e) + e) & b) << 1)) - 1))) - 1) & (((b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))) + (b & ~ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1))))) - (b ^ (((b + ~ (e - 1)) + 1) + ((- b - 1) | (- (~ (e - 1)) - 1)))))),(((~(e|((e|e)-b)))*(b-(b|(-e)))))
((((d - ((e - ~ d) - 1)) - ((d | ~ ((e - ~ d) - 1)) << 1)) - 2) | (((d ^ d) + ((d & d) + (d & d))) + 1)) - (((d ^ d) + ((d & d) + (d & d))) + 1),(((d^(e+d))&(~(-(~(d+d))))))
((((~ (((c - c) - ((c | ~ c) << 1)) - 2) | ((~ ((c & b) * (c | b) + (c & ~ b) * (~ c & b)) | (((b & ~ b) << 1) - (b ^ b))) - ~ ((c & b) * (c | b) + (c & ~ b) * (~ c & b)))) - ~ (((c - c) - ((c | ~ c) << 1)) - 2)) ^ ~ ((((b | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) - (b & ((b & b) * (b | b) + (b & ~ b) * (~ b & b)))) | c) - c)) + ((((~ (((c - c) - ((c | ~ c) << 1)) - 2) | ((~ ((c & b) * (c | b) + (c & ~ b) * (~ c & b)) | (((b & ~ b) << 1) - (b ^ b))) - ~ ((c & b) * (c | b) + (c & ~ b) * (~ c & b)))) - ~ (((c - c) - ((c | ~ c) << 1)) - 2)) | ((((b | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) - (b & ((b & b) * (b | b) + (b & ~ b) * (~ b & b)))) | c) - c)) << 1)) + 1,((((c^c)&((c*b)&(b-b)))+((b^(b*b))&(~c))))
